word,count
the,54
of,49
to,29
and,27
a,20
in,17
be,16
will,16
we,14
freedom,13
i,12
from,12
ring,12
one,12
that,12
have,12
with,12
dream,11
is,11
let,10
day,9
this,9
negro,8
every,7
able,7
today,7
our,7
all,6
together,6
not,5
free,5
their,5
white,5
years,5
hundred,4
still,4
must,4
when,4
by,4
it,4
later,4
mountain,4
at,4
now,4
for,4
as,4
faith,4
nation,4
justice,3
but,3
go,3
state,3
last,3
american,3
little,3
on,3
its,3
shall,3
time,3
rise,3
there,3
out,3
hope,3
brotherhood,3
new,3
up,3
join,3
black,3
injustice,3
men,3
into,3
children,3
gods,2
made,2
hill,2
valley,2
racial,2
places,2
live,2
georgia,2
forever,2
former,2
even,2
mississippi,2
sweltering,2
destiny,2
heat,2
they,2
sons,2
brothers,2
alabama,2
america,2
again,2
words,2
physical,2
allow,2
boys,2
girls,2
hands,2
struggle,2
force,2
come,2
came,2
his,2
slaves,2
stand,2
history,2
down,2
great,2
segregation,2
stone,2
you,2
mighty,2
an,1
village,1
oasis,1
happens,1
transformed,1
where,1
hew,1
judged,1
color,1
oppression,1
content,1
character,1
mountainside,1
vicious,1
molehill,1
racists,1
governor,1
tennessee,1
skin,1
speed,1
hamlet,1
spiritual,1
were,1
red,1
hills,1
almighty,1
slave,1
owners,1
god,1
thank,1
old,1
city,1
sit,1
sing,1
catholics,1
table,1
protestants,1
gentiles,1
jews,1
lips,1
having,1
only,1
dripping,1
lookout,1
say,1
mowing,1
jail,1
pray,1
work,1
plains,1
crooked,1
straight,1
symphony,1
beautiful,1
before,1
lord,1
discords,1
revealed,1
flesh,1
genuine,1
transform,1
see,1
despair,1
created,1
back,1
my,1
friends,1
prodigious,1
capped,1
mount,1
california,1
slopes,1
interposition,1
nullification,1
right,1
curvaceous,1
colorado,1
rockies,1
snow,1
rough,1
pennsylvania,1
sisters,1
alleghenies,1
york,1
mountains,1
exalted,1
hampshire,1
hilltops,1
low,1
equal,1
militarism,1
are,1
ocean,1
life,1
sadly,1
crippled,1
manacles,1
chains,1
discrimination,1
lives,1
lonely,1
island,1
poverty,1
midst,1
vast,1
material,1
night,1
prosperity,1
languishing,1
comers,1
society,1
finds,1
himself,1
exile,1
own,1
land,1
hallowed,1
spot,1
remind,1
captivity,1
long,1
urgency,1
proclamation,1
happy,1
what,1
greatest,1
demonstration,1
five,1
score,1
ago,1
whose,1
symbolic,1
shadow,1
signed,1
emancipation,1
momentous,1
end,1
decree,1
beckoning,1
light,1
millions,1
who,1
had,1
been,1
seared,1
flames,1
withering,1
joyous,1
daybreak,1
fierce,1
dark,1
selfevident,1
part,1
has,1
engulfed,1
community,1
lead,1
us,1
distrust,1
people,1
many,1
evidenced,1
presence,1
here,1
realize,1
so,1
am,1
though,1
face,1
difficulties,1
tomorrow,1
deeply,1
rooted,1
true,1
meaning,1
creed,1
hold,1
these,1
truths,1
which,1
marvelous,1
desolate,1
citizenship,1
sunlit,1
path,1
change,1
solid,1
rock,1
make,1
neither,1
rest,1
nor,1
tranquility,1
until,1
granted,1
rights,1
soul,1
conduct,1
high,1
plane,1
dignity,1
discipline,1
creative,1
protest,1
degenerate,1
violence,1
majestic,1
heights,1
meeting,1
,1
